caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,q7,q8,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,q16,q17,q18,q20f1,q21af2,q21bf2,q21cf2,q23,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,q32,q33,q34,q35,q37,q38,q39,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knosct_count,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1
100126.0,5.0,1.0,82114.0,1.0,3.0,37.0,R,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,21.0,3.0,,2.0,2.0,2.0,,,,2.0,,1.0,6.0,2.0,,12.0,,,1.0,3.0,1.0,3.0,9.0,2.0,2.0,2.0,1.0,1.0,1.0,,
100129.0,1.6428571428571428,1.0,81514.0,1.0,3.0,48.0,S,1.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,,,,,1.0,1.0,2.0,1.0,2.0,2.0,,9.0,,,1.0,1.0,1.0,1.0,2.0,1.0,9.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,9.0,3.0,8.0,2.0,3.0,2.0,1.0,3.0,1.0,79.0,8.0,1.0,2.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,,1.0,,1.0,1.0,6.0,1.0,1.0,,2.0,3.0,3.0,1.0,2.0,1.0,,
100135.0,3.142857142857143,1.0,81514.0,1.0,3.0,22.0,U,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,,,,2.0,2.0,2.0,2.0,,2.0,,1.0,2.0,,9.0,9.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,8.0,8.0,2.0,1.0,3.0,0.0,2.0,63.0,4.0,,2.0,2.0,2.0,,,,2.0,,1.0,1.0,2.0,,1.0,,1.0,1.0,5.0,1.0,2.0,,3.0,2.0,2.0,1.0,2.0,1.0,,
100150.0,6.642857142857143,1.0,81514.0,1.0,3.0,22.0,S,2.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,1.0,,3.0,3.0,1.0,1.0,1.0,9.0,1.0,1.0,9.0,99.0,,,2.0,2.0,1.0,2.0,,1.0,1.0,,,,1.0,9.0,9.0,2.0,9.0,2.0,2.0,2.0,9.0,2.0,9.0,1.0,2.0,9.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,8.0,8.0,8.0,8.0,8.0,1.0,2.0,54.0,3.0,,2.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,,1.0,,1.0,6.0,4.0,1.0,3.0,9.0,3.0,4.0,4.0,2.0,2.0,1.0,,
100164.0,4.357142857142857,1.0,81514.0,1.0,2.0,17.0,S,5.0,1.0,9.0,3.0,2.0,3.0,2.0,2.0,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,2.0,2.0,2.0,9.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,4.0,2.0,28.0,8.0,2.0,2.0,1.0,1.0,,,,1.0,,1.0,6.0,2.0,,4.0,,2.0,4.0,5.0,1.0,2.0,,4.0,3.0,3.0,1.0,1.0,1.0,,
100166.0,11.071428571428571,1.0,81514.0,1.0,3.0,22.0,S,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,2.0,1.0,2.0,2.0,,1.0,,2.0,,2.0,1.0,1.0,2.0,2.0,9.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,43.0,4.0,,2.0,1.0,1.0,,,,1.0,,1.0,6.0,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,2.0,3.0,2.0,1.0,1.0,1.0,,
100169.0,11.071428571428571,1.0,81814.0,1.0,3.0,22.0,U,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,1.0,1.0,1.0,2.0,,1.0,2.0,,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,6.0,2.0,18.0,4.0,,2.0,4.0,2.0,1.0,,,4.0,,1.0,6.0,2.0,,12.0,,,1.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,,
100183.0,4.785714285714286,1.0,81514.0,1.0,3.0,22.0,S,2.0,2.0,9.0,3.0,3.0,3.0,3.0,3.0,,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,1.0,1.0,2.0,2.0,,1.0,,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,25.0,3.0,,1.0,5.0,5.0,,,,3.0,1.0,,6.0,2.0,,99.0,2.0,,6.0,10.0,1.0,3.0,9.0,2.0,3.0,2.0,1.0,1.0,2.0,1.0,
100194.0,11.071428571428571,1.0,81514.0,1.0,3.0,1.0,S,3.0,1.0,2.0,4.0,2.0,3.0,3.0,4.0,2.0,,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0,99.0,,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,9.0,1.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,6.0,1.0,63.0,3.0,,2.0,1.0,1.0,,,,1.0,,1.0,5.0,2.0,,13.0,,1.0,2.0,1.0,3.0,3.0,1.0,3.0,1.0,,2.0,2.0,2.0,,
100217.0,1.0,1.0,82114.0,1.0,3.0,28.0,S,2.0,1.0,1.0,3.0,2.0,4.0,4.0,3.0,2.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,9.0,1.0,2.0,3.0,1.0,1.0,9.0,3.0,2.0,1.0,4.0,2.0,80.0,8.0,2.0,2.0,1.0,1.0,,,,1.0,,1.0,5.0,2.0,,1.0,,1.0,6.0,3.0,1.0,2.0,,3.0,1.0,,1.0,1.0,1.0,,
