Position,Annual Salary,Label
Professor,162338.28,Professor
Professor,162165.48,Professor
Professor,162046.44,Professor
Assoc Professor - Clin Geo,162000.0,Assoc Professor
Professor,161664.6,Professor
Professor,161645.04,Professor
Professor,161479.68,Professor
Asst Professor,161402.28,Asst Professor
Asst Professor,161402.28,Asst Professor
Sr Assoc Dean,161262.0,Dean
Professor,161019.6,Professor
Professor,160798.44,Professor
Professor - Geo,160750.0,Professor
Professor,160533.36,Professor
Professor,160461.36,Professor
Asst Professor,160000.0,Asst Professor
Asst Professor,160000.0,Asst Professor
Asst Professor,160000.0,Asst Professor
Professor,159863.64,Professor
Professor,159778.56,Professor
Professor,159442.32,Professor
Professor,159324.84,Professor
Professor,159170.76,Professor
Assoc Professor,159080.4,Assoc Professor
Professor - Adj Rep,158688.29,Professor
Asst Professor,158630.4,Asst Professor
Asst Professor,158630.4,Asst Professor
Professor - Research,157774.56,Professor
Assoc Professor,157671.6,Assoc Professor
Dir Academic,156957.6,Director Academic
Professor,156513.12,Professor
Asst Professor,156372.24,Asst Professor
Professor,155504.04,Professor
Professor,155280.84,Professor
Professor - Clin,155178.6,Professor
Assoc Professor - Educator,155029.56,Assoc Professor
Assoc Dean,155000.0,Dean
Professor - Clin Geo,155000.0,Professor
Asst Professor - Clin Geo,155000.0,Asst Professor
Professor - Geo,155000.0,Professor
Professor - Educator,154694.28,Professor
Professor,154639.68,Professor
Professor,154638.0,Professor
Professor,154625.28,Professor
Asst Professor,154528.8,Asst Professor
Professor,154515.48,Professor
Professor,154374.0,Professor
Assoc Dean,154344.0,Dean
Assoc Professor,154231.2,Assoc Professor
Professor,153843.24,Professor
Professor,153715.56,Professor
Assoc Professor,153481.08,Assoc Professor
Asst Professor,153236.52,Asst Professor
Assoc Professor,153140.88,Assoc Professor
Professor,152980.32,Professor
Professor - Clin Geo,152548.0,Professor
Professor,152337.36,Professor
Professor,152038.68,Professor
Professor,151966.44,Professor
Asst Professor,151925.88,Asst Professor
Asst Professor,151925.88,Asst Professor
Professor,151891.08,Professor
Professor,151686.5,Professor
Asst VP Rsrch Strategic Implemention,151540.56,Vice President
Professor - Geo,151200.0,Professor
Professor,151055.88,Professor
Professor,150638.64,Professor
Assoc Dean,150619.08,Dean
Professor,150419.88,Professor
Professor,150225.96,Professor
Assoc Professor - Clin Geo,150099.96,Assoc Professor
Professor,150073.08,Professor
Dir Academic Med,150000.0,Director Academic
Dir Academic Med,150000.0,Director Academic
Dir Academic Med,150000.0,Director Academic
Professor,149165.76,Professor
Assoc Professor,149110.56,Assoc Professor
Assoc Professor - Clin Geo,149108.0,Assoc Professor
Asst Professor,148654.2,Asst Professor
Assoc Professor,148500.24,Assoc Professor
Assoc Dean,148271.52,Dean
Professor,148073.28,Professor
Professor,148018.68,Professor
Professor,147925.08,Professor
Assoc Professor,147917.64,Assoc Professor
Interim Assoc Dean,147900.0,Dean
Professor,147599.28,Professor
Professor,147556.92,Professor
Professor,147455.88,Professor
Professor,147402.0,Professor
Asst Professor,146673.84,Asst Professor
Asst Professor,146673.84,Asst Professor
Asst Professor,146673.84,Asst Professor
Professor,146608.32,Professor
Assoc Professor,146493.6,Assoc Professor
Professor - Research,146404.08,Professor
Asst VP Business Core Systems,146128.32,Vice President
Professor,146079.96,Professor
Professor,145992.12,Professor
Professor,145762.68,Professor
Professor,145515.48,Professor
Assoc Professor,145326.72,Assoc Professor
Professor,145077.48,Professor
Assoc Professor,145012.27,Assoc Professor
