DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
3,25XX TALBOTT AV,39.132375690791,-84.5701454587444,SOUTH FAIRMOUNT,SOUTH FAIRMOUNT,713,30908466,1,,BLACK,MALE,40,NONFATAL,09/08/2009 12:00:00 AM,SEP,,N/A,TUE,30908466,09/08/2009 12:00:00 AM,DISTRICT 3,45211,SOUTH FAIRMOUNT - WESTWOOD
2,60XX PRENTICE ST,39.1592138398554,-84.3907549193815,MADISONVILLE,MADISONVILLE,1796,129009799,1,"CINC, OH 45227",BLACK,MALE,19,NONFATAL,04/17/2012 12:00:00 AM,APR,233000,23,TUE,129009799,04/17/2012 11:30:00 PM,DISTRICT 2,45227,MADISONVILLE
3,17XX ELMORE ST,39.1549789342239,-84.547753559533,SOUTH CUMMINSVILLE,SOUTH CUMMINSVILLE,2322,139019272,1,"SCHENECTADY, NY 12305",BLACK,MALE,49,FATAL,07/23/2013 12:00:00 AM,JUL,220500,22,TUE,139019272,07/23/2013 10:05:00 PM,DISTRICT 3,45223,SOUTH CUMMINSVILLE
1,16XX RACE ST,39.1132772550446,-84.5185481609813,OVER-THE-RHINE,OVER-THE-RHINE,546,10901820,3,,BLACK,MALE,33,NONFATAL,05/04/2009 12:00:00 AM,MAY,,N/A,MON,10901820,05/04/2009 12:00:00 AM,DISTRICT 1,45202,OTR
4,16XX SUMMIT RD,39.2028307849281,-84.4587084454448,ROSELAWN,ROSELAWN,1947,129025126,2,"CINC, OH 45237",BLACK,MALE,52,NONFATAL,09/01/2012 12:00:00 AM,SEP,225900,22,SAT,129025126,09/01/2012 10:59:00 PM,DISTRICT 4,45237,ROSELAWN
4,9XX DANA AV,39.1505264020505,-84.4810377933505,NORTH AVONDALE,AVONDALE,416,40809695,1,,BLACK,MALE,29,NONFATAL,12/30/2008 12:00:00 AM,DEC,,N/A,TUE,40809695,12/30/2008 12:00:00 AM,DISTRICT 4,45229,NORTH AVONDALE
5,59XX HAMILTON AV,39.1997121423557,-84.5456407241619,COLLEGE HILL,COLLEGE HILL,1057,51004607,3,"CINC, OH 45211",BLACK,MALE,40,NONFATAL,08/01/2010 12:00:00 AM,AUG,,N/A,SUN,51004607,08/01/2010 12:00:00 AM,DISTRICT 5,45224,COLLEGE HILL
1,XX E MCMICKEN AV,39.1142425433604,-84.5160783746755,OVER-THE-RHINE,OVER-THE-RHINE,3276,159029543,1,"CINCINNATI, OH 45202",BLACK,MALE,42,NONFATAL,10/28/2015 12:00:00 AM,OCT,234300,23,WED,159029543,10/28/2015 11:43:00 PM,DISTRICT 1,,OTR
3,26XX WESTWOOD NORTHERN BV,39.1512357206268,-84.5883020143244,WESTWOOD,WESTWOOD,3854,179009065,1,,BLACK,FEMALE,24,NONFATAL,03/18/2017 12:00:00 AM,MAR,224000,22,SAT,179009065,03/18/2017 10:40:00 PM,DISTRICT 3,,WESTWOOD
4,75XX VINE ST,39.1987397009749,-84.4749981340827,CARTHAGE,CARTHAGE,4427,189025791,1,,BLACK,MALE,51,NONFATAL,09/23/2018 12:00:00 AM,SEP,033000,3,SUN,189025791,09/23/2018 03:30:00 AM,DISTRICT 4,,CARTHAGE
3,41XX FLOWER AV,39.105126447194,-84.5882283850314,WEST PRICE HILL,WEST PRICE HILL,4345,189017422,1,,BLACK,MALE,43,NONFATAL,06/30/2018 12:00:00 AM,JUN,083000,8,SAT,189017422,06/30/2018 08:30:00 AM,DISTRICT 3,,WEST PRICE HILL
5,18XX CHASE AV,39.1656607637074,-84.5496124535494,NORTHSIDE,NORTHSIDE,700,50905210,3,,BLACK,MALE,26,NONFATAL,08/29/2009 12:00:00 AM,AUG,,N/A,SAT,50905210,08/29/2009 12:00:00 AM,DISTRICT 5,45223,NORTHSIDE
3,7XX SEDAM ST,39.0927808841064,-84.5732961392901,SEDAMSVILLE,SEDAMSVILLE,2637,149013299,1,"CINTI, OH 45204",BLACK,MALE,22,NONFATAL,06/07/2014 12:00:00 AM,JUN,002500,0,SAT,149013299,06/07/2014 12:25:00 AM,DISTRICT 3,45204,SEDAMSVILLE
3,35XX WARSAW AV,39.1108122703954,-84.5680412917071,EAST PRICE HILL,EAST PRICE HILL,1192,31010843,1,"CINC, OH 45205",BLACK,MALE,24,NONFATAL,10/28/2010 12:00:00 AM,OCT,,N/A,THU,31010843,10/28/2010 12:00:00 AM,DISTRICT 3,45205,EAST PRICE HILL
4,5XX CARPLIN PL,39.1398492170145,-84.4967175436893,AVONDALE,AVONDALE,293,40807012,1,,BLACK,MALE,24,NONFATAL,09/20/2008 12:00:00 AM,SEP,,N/A,SAT,40807012,09/20/2008 12:00:00 AM,DISTRICT 4,45229,AVONDALE
5,XX KINGS RUN CT,39.1780749738776,-84.5101319241097,WINTON HILLS,WINTON HILLS,2406,139026874,2,"CINCINNATI, OH 45232",BLACK,MALE,19,NONFATAL,10/01/2013 12:00:00 AM,OCT,213800,21,TUE,139026874,10/01/2013 09:38:00 PM,DISTRICT 5,45232,WINTON HILLS
5,13XX W NORTH BEND RD,39.2016393525204,-84.5394826919683,COLLEGE HILL,COLLEGE HILL,3204,159025311,1,"CINCINNATI, OH 45210",BLACK,MALE,30,NONFATAL,09/16/2015 12:00:00 AM,SEP,,N/A,WED,159025311,09/16/2015 12:00:00 AM,DISTRICT 5,,COLLEGE HILL
4,8XX BUENA VISTA PL,39.1346734283747,-84.4884244154657,WALNUT HILLS,WALNUT HILLS,1994,129029771,1,"CINC, OH 45206",BLACK,MALE,55,FATAL,10/15/2012 12:00:00 AM,OCT,175600,17,MON,129029771,10/15/2012 05:56:00 PM,DISTRICT 4,45206,WALNUT HILLS
3,24XX NOTTINGHAM RD,39.1571106946517,-84.5591363955684,VILLAGES AT ROLL HILL,VILLAGES AT ROLL HILL,859,31001079,1,,WHITE,MALE,37,NONFATAL,02/06/2010 12:00:00 AM,FEB,,N/A,SAT,31001079,02/06/2010 12:00:00 AM,DISTRICT 3,45225,VILLAGES AT ROLL HILL
1,20XX COLERAIN AV,39.1187158435788,-84.5326936045218,WEST END,WEST END,740,10904590,1,,BLACK,MALE,36,NONFATAL,10/02/2009 12:00:00 AM,OCT,,N/A,FRI,10904590,10/02/2009 12:00:00 AM,DISTRICT 1,45214,WEST END
2,58XX BRAMBLE AV,39.1518107964437,-84.3954864953524,MADISONVILLE,MADISONVILLE,1183,21004687,1,"CINC, OH 45227",BLACK,MALE,28,NONFATAL,10/23/2010 12:00:00 AM,OCT,,N/A,SAT,21004687,10/23/2010 12:00:00 AM,DISTRICT 2,45227,MADISONVILLE
4,70XX READING RD,39.1886996082384,-84.4631522214425,BOND HILL,BOND HILL,1509,41104796,1,"CINC, OH 45237",BLACK,MALE,19,NONFATAL,07/27/2011 12:00:00 AM,JUL,003000,0,WED,41104796,07/27/2011 12:30:00 AM,DISTRICT 4,45237,BOND HILL
1,12XX WALNUT ST,39.1090034046734,-84.5133114002263,OVER-THE-RHINE,OVER-THE-RHINE,1389,11101808,2,"CINC, OH 45202",BLACK,MALE,17,NONFATAL,05/07/2011 12:00:00 AM,MAY,150500,15,SAT,11101808,05/07/2011 03:05:00 PM,DISTRICT 1,45202,OTR
5,54XX HEBRON CT,39.1899754050169,-84.5162825562159,WINTON HILLS,WINTON HILLS,3915,179016462,1,,BLACK,MALE,23,NONFATAL,05/07/2017 12:00:00 AM,MAY,194500,19,SUN,179016462,05/07/2017 07:45:00 PM,DISTRICT 5,,WINTON HILLS
4,6XX LINCOLN AV,39.1318148680012,-84.4945938524175,AVONDALE,AVONDALE,354,40808100,1,,BLACK,MALE,24,NONFATAL,10/26/2008 12:00:00 AM,OCT,,N/A,SUN,40808100,10/26/2008 12:00:00 AM,DISTRICT 4,45206,WALNUT HILLS
1,20XX COLERAIN AV,39.1195479322028,-84.5329151207359,WEST END,WEST END,1264,11005758,1,"CIN, OH 45229",BLACK,MALE,19,NONFATAL,12/31/2010 12:00:00 AM,DEC,,N/A,FRI,11005758,12/31/2010 12:00:00 AM,DISTRICT 1,45214,WEST END
3,49XX SHIRLEY PL,39.1276627165401,-84.6027464643952,WEST PRICE HILL,WEST PRICE HILL,3411,169005996,1,"CINCINNATI, OH 45223",BLACK,MALE,35,NONFATAL,03/16/2016 12:00:00 AM,MAR,000700,0,WED,169005996,03/16/2016 12:07:00 AM,DISTRICT 3,,WESTWOOD
4,X LINCOLN TE,39.1387577624398,-84.4850357892443,WALNUT HILLS,WALNUT HILLS,1683,41108162,1,"CINC, OH 45224",BLACK,MALE,53,NONFATAL,12/23/2011 12:00:00 AM,DEC,002400,0,FRI,41108162,12/23/2011 12:24:00 AM,DISTRICT 4,45206,WALNUT HILLS
3,32XX MOOSEWOOD AV,39.1424766521617,-84.5511688569808,MILLVALE,MILLVALE,147,30805166,1,,BLACK,FEMALE,39,FATAL,06/06/2008 12:00:00 AM,JUN,,N/A,FRI,30805166,06/06/2008 12:00:00 AM,DISTRICT 3,45225,MILLVALE
5,41XX KIRBY AV,39.1643097692733,-84.5473576920946,NORTHSIDE,NORTHSIDE,1530,51104351,1,"CIN, OH 45240",BLACK,MALE,26,NONFATAL,08/05/2011 12:00:00 AM,AUG,232000,23,FRI,51104351,08/05/2011 11:20:00 PM,DISTRICT 5,45223,NORTHSIDE
4,26XX VINE ST,39.1289450770148,-84.5097253142565,CORRYVILLE,CORRYVILLE,350,40808076,1,,WHITE,MALE,36,NONFATAL,10/25/2008 12:00:00 AM,OCT,,N/A,SAT,40808076,10/25/2008 12:00:00 AM,DISTRICT 4,45219,CORRYVILLE
3,37XX WARSAW AV,39.1134120517596,-84.5740518872734,EAST PRICE HILL,EAST PRICE HILL,2270,139015761,1,"CINC, OH 45207",BLACK,MALE,20,NONFATAL,06/23/2013 12:00:00 AM,JUN,221000,22,SUN,139015761,06/23/2013 10:10:00 PM,DISTRICT 3,45205,EAST PRICE HILL
2,58XX BRAMBLE AV,39.1514862301203,-84.3939035198538,MADISONVILLE,MADISONVILLE,222,20803607,2,,BLACK,MALE,20,NONFATAL,07/24/2008 12:00:00 AM,JUL,,N/A,THU,20803607,07/24/2008 12:00:00 AM,DISTRICT 2,45227,MADISONVILLE
4,9XX DANA AV,39.1535469670383,-84.4836297490577,NORTH AVONDALE,AVONDALE,2495,149000345,1,"CINC, OH 45237",BLACK,MALE,21,NONFATAL,01/05/2014 12:00:00 AM,JAN,174500,17,SUN,149000345,01/05/2014 05:45:00 PM,DISTRICT 4,45229,AVONDALE - NORTH AVONDALE
1,11XX YORK ST,39.1174972970771,-84.5326874192982,WEST END,WEST END,855,11000332S1,1,,BLACK,MALE,21,NONFATAL,01/29/2010 12:00:00 AM,JAN,,N/A,FRI,11000332S1,01/29/2010 12:00:00 AM,DISTRICT 1,45214,WEST END
4,5XX HICKORY ST,39.144584905623,-84.4963306886805,AVONDALE,AVONDALE,4242,189008529,1,,BLACK,MALE,22,FATAL,04/03/2018 12:00:00 AM,APR,122500,12,TUE,189008529,04/03/2018 12:25:00 PM,DISTRICT 4,,AVONDALE
3,12XX FIRST AV,39.1168342848864,-84.5784639997244,WEST PRICE HILL,WEST PRICE HILL,1019,31006248,2,,WHITE,MALE,24,NONFATAL,06/20/2010 12:00:00 AM,JUN,,N/A,SUN,31006248,06/20/2010 12:00:00 AM,DISTRICT 3,45205,WEST PRICE HILL
4,34XX READING RD,39.1424186358167,-84.4930273644064,AVONDALE,AVONDALE,2957,159008950,1,"CINC, OH 45229",BLACK,MALE,16,NONFATAL,04/13/2015 12:00:00 AM,APR,213500,21,MON,159008950,04/13/2015 09:35:00 PM,DISTRICT 4,45229,AVONDALE
3,16XX DEWEY AV,39.1180279644576,-84.580940259707,WEST PRICE HILL,WEST PRICE HILL,2177,139009181,1,"CINC, OH 45205",WHITE,MALE,37,NONFATAL,04/21/2013 12:00:00 AM,APR,211500,21,SUN,139009181,04/21/2013 09:15:00 PM,DISTRICT 3,45205,WEST PRICE HILL
3,41XX W LIBERTY ST,39.1171849988919,-84.5811017825734,WEST PRICE HILL,WEST PRICE HILL,1862,129017593,1,"CLEVES, OH 45002",WHITE,FEMALE,13,NONFATAL,06/27/2012 12:00:00 AM,JUN,215000,21,WED,129017593,06/27/2012 09:50:00 PM,DISTRICT 3,45205,WEST PRICE HILL
4,5XX OAK ST,39.1311067330156,-84.4993454457347,AVONDALE,AVONDALE,4095,179041245,2,,BLACK,MALE,37,FATAL,10/03/2017 12:00:00 AM,OCT,020600,2,TUE,179041245,10/03/2017 02:06:00 AM,DISTRICT 4,,AVONDALE
1,18XX REPUBLIC ST,39.1150691832198,-84.5168846268748,OVER-THE-RHINE,OVER-THE-RHINE,2008,129031686,1,"CINC, OH 45205",BLACK,MALE,25,NONFATAL,10/30/2012 12:00:00 AM,OCT,160500,16,TUE,129031686,10/30/2012 04:05:00 PM,DISTRICT 1,45202,OTR
2,56XX MONTGOMERY RD,39.1765224029156,-84.4389915808644,PLEASANT RIDGE,PLEASANT RIDGE,3898,179014407,1,,BLACK,MALE,54,NONFATAL,04/23/2017 12:00:00 AM,APR,213000,21,SUN,179014407,04/23/2017 09:30:00 PM,DISTRICT 2,,PLEASANT RIDGE
5,52XX HOLLAND DR,39.185796401598,-84.5113384944312,WINTON HILLS,WINTON HILLS,3447,169009681,1,"CINCINNATI, OH 45232",BLACK,MALE,23,NONFATAL,04/25/2016 12:00:00 AM,APR,010500,1,MON,169009681,04/25/2016 01:05:00 AM,DISTRICT 5,,WINTON HILLS
3,31XX MCHENRY AV,39.1436968592963,-84.5767435885022,WESTWOOD,WESTWOOD,1760,129007052,1,"CINC, OH 45206",BLACK,MALE,18,NONFATAL,03/20/2012 12:00:00 AM,MAR,165000,16,TUE,129007052,03/20/2012 04:50:00 PM,DISTRICT 3,45211,WESTWOOD
1,15XX JONES ST,39.1113730331833,-84.5266260199153,WEST END,WEST END,3981,179026586,1,,BLACK,MALE,28,NONFATAL,07/12/2017 12:00:00 AM,JUL,00000000000000.000,0,WED,179026586,07/12/2017 12:00:00 AM,DISTRICT 1,,WEST END
1,XX E MCMICKEN AV,39.1161405980687,-84.5148665784718,OVER-THE-RHINE,OVER-THE-RHINE,1334,11101139,1,"CINC., OH 45229",BLACK,MALE,23,NONFATAL,03/28/2011 12:00:00 AM,MAR,171500,17,MON,11101139,03/28/2011 05:15:00 PM,DISTRICT 1,45202,OTR
4,48XX READING RD,39.1739942495376,-84.4673010985271,BOND HILL,BOND HILL,284,40806783,1,,BLACK,MALE,42,NONFATAL,09/15/2008 12:00:00 AM,SEP,,N/A,MON,40806783,09/15/2008 12:00:00 AM,DISTRICT 4,45237,BOND HILL
1,14XX VINE ST,39.1109802216219,-84.5158485824438,OVER-THE-RHINE,OVER-THE-RHINE,3331,159033812,1,"CINCINNATI, OH 45219",BLACK,FEMALE,20,NONFATAL,12/17/2015 12:00:00 AM,DEC,195500,19,THU,159033812,12/17/2015 07:55:00 PM,DISTRICT 1,,OTR
2,27XX LAWNDALE AV,39.1776332015953,-84.4386148393598,PLEASANT RIDGE,PLEASANT RIDGE,3837,179005662,1,,BLACK,MALE,15,NONFATAL,02/24/2017 12:00:00 AM,FEB,184000,18,FRI,179005662,02/24/2017 06:40:00 PM,DISTRICT 2,,PLEASANT RIDGE
5,1XX CRAFT ST,39.179047106585,-84.5106548987904,WINTON HILLS,WINTON HILLS,3309,159032494,1,"CINCINNATI, OH 45232",BLACK,MALE,18,NONFATAL,12/03/2015 12:00:00 AM,DEC,001000,0,THU,159032494,12/03/2015 12:10:00 AM,DISTRICT 5,,WINTON HILLS
2,16XX POTTER PL,39.1445282376272,-84.4736460417035,EVANSTON,EVANSTON,2494,149000034,2,,BLACK,MALE,114,NONFATAL,01/01/2014 12:00:00 AM,JAN,014500,1,WED,149000034,01/01/2014 01:45:00 AM,DISTRICT 2,45207,EVANSTON
3,23XX BALTIMORE AV,39.1498200678584,-84.5623785031713,EAST WESTWOOD,MILLVALE,1883,129019073,1,"CINC, OH 45240",BLACK,MALE,22,NONFATAL,07/11/2012 12:00:00 AM,JUL,235500,23,WED,129019073,07/11/2012 11:55:00 PM,DISTRICT 3,45225,EAST WESTWOOD
4,49XX READING RD,39.1767701316492,-84.4659000371605,BOND HILL,BOND HILL,3736,169030966,1,,BLACK,MALE,21,NONFATAL,11/26/2016 12:00:00 AM,NOV,112300,11,SAT,169030966,11/26/2016 11:23:00 AM,DISTRICT 4,,BOND HILL
3,27XX GLENWAY AV,39.1111169035295,-84.5565036100128,EAST PRICE HILL,EAST PRICE HILL,2362,139023151,1,"CINC, OH 45207",BLACK,MALE,61,NONFATAL,08/27/2013 12:00:00 AM,AUG,163000,16,TUE,139023151,08/27/2013 04:30:00 PM,DISTRICT 3,45204,EAST PRICE HILL
3,X NEVADA ST,39.107602203489,-84.5527874573412,LOWER PRICE HILL,LOWER PRICE HILL,3232,159027296,1,"CINCINNATI, OH 45204",WHITE,MALE,17,NONFATAL,10/03/2015 12:00:00 AM,OCT,232000,23,SAT,159027296,10/03/2015 11:20:00 PM,DISTRICT 3,,LOWER PRICE HILL
1,XX E MCMICKEN AV,39.1147070224439,-84.5150775729125,OVER-THE-RHINE,OVER-THE-RHINE,263,10804091,1,,BLACK,MALE,12,NONFATAL,08/18/2008 12:00:00 AM,AUG,,N/A,MON,10804091,08/18/2008 12:00:00 AM,DISTRICT 1,45202,OTR
4,37XX READING RD,39.1513647016601,-84.4856647444081,NORTH AVONDALE,AVONDALE,111,40803011,1,,BLACK,MALE,29,NONFATAL,05/06/2008 12:00:00 AM,MAY,,N/A,TUE,40803011,05/06/2008 12:00:00 AM,DISTRICT 4,45229,AVONDALE - NORTH AVONDALE
3,32XX BROADWELL AV,39.1480109106443,-84.609155864976,WESTWOOD,WESTWOOD,2581,149008570,2,"CINCINNATI, OH 45223",BLACK,MALE,32,NONFATAL,04/18/2014 12:00:00 AM,APR,214000,21,FRI,149008570,04/18/2014 09:40:00 PM,DISTRICT 3,45211,WESTWOOD
4,77XX READING RD,39.2009824347947,-84.4564987986223,ROSELAWN,ROSELAWN,2047,129036254,1,"CINC, OH 45214",BLACK,MALE,17,NONFATAL,12/12/2012 12:00:00 AM,DEC,213000,21,WED,129036254,12/12/2012 09:30:00 PM,DISTRICT 4,45237,ROSELAWN
4,3XX NORTHERN AV,39.143691557208,-84.5013725974464,AVONDALE,AVONDALE,1738,129004185,1,"CINC, OH 45211",BLACK,MALE,31,NONFATAL,02/16/2012 12:00:00 AM,FEB,134500,13,THU,129004185,02/16/2012 01:45:00 PM,DISTRICT 4,45229,AVONDALE
4,78XX GLENORCHARD DR,39.206055248502,-84.4585912919846,ROSELAWN,ROSELAWN,2007,129031470,1,"CINC, OH 45237",BLACK,MALE,31,NONFATAL,10/29/2012 12:00:00 AM,OCT,155000,15,MON,129031470,10/29/2012 03:50:00 PM,DISTRICT 4,45237,ROSELAWN
3,42XX GLENWAY AV,39.1147208295529,-84.5837055422615,WEST PRICE HILL,WEST PRICE HILL,2970,159009950,1,"CINTI, OH 45205",BLACK,MALE,26,NONFATAL,04/23/2015 12:00:00 AM,APR,211000,21,THU,159009950,04/23/2015 09:10:00 PM,DISTRICT 3,45205,WEST PRICE HILL
1,16XX HAMER ST,39.1135949896204,-84.5164502331565,OVER-THE-RHINE,OVER-THE-RHINE,830,10906073,1,,BLACK,FEMALE,62,NONFATAL,12/27/2009 12:00:00 AM,DEC,,N/A,SUN,10906073,12/27/2009 12:00:00 AM,DISTRICT 1,45202,OTR
4,77XX READING RD,39.2020235118598,-84.4558093544129,ROSELAWN,ROSELAWN,3040,159013583,1,"CINC, OH 45223",BLACK,MALE,34,NONFATAL,05/29/2015 12:00:00 AM,MAY,030000,3,FRI,159013583,05/29/2015 03:00:00 AM,DISTRICT 4,45237,ROSELAWN
1,16XX HAMER ST,39.1154394502211,-84.5167832109329,OVER-THE-RHINE,OVER-THE-RHINE,1328,11101037,1,"C/O, 45214",BLACK,MALE,44,NONFATAL,03/21/2011 12:00:00 AM,MAR,111500,11,MON,11101037,03/21/2011 11:15:00 AM,DISTRICT 1,45202,OTR
4,81XX ANTHONY WAYNE AV,39.2046512190057,-84.4675827278064,HARTWELL,HARTWELL,257,40806092,1,,BLACK,MALE,29,FATAL,08/15/2008 12:00:00 AM,AUG,,N/A,FRI,40806092,08/15/2008 12:00:00 AM,DISTRICT 4,45216,HARTWELL
4,30XX GILBERT AV,39.1363666720814,-84.4847721579869,WALNUT HILLS,WALNUT HILLS,2042,129035597,1,0,BLACK,FEMALE,16,FATAL,12/09/2012 12:00:00 AM,DEC,011500,1,SUN,129035597,12/09/2012 01:15:00 AM,DISTRICT 4,45206,WALNUT HILLS
5,54XX WINNESTE AV,39.189345371667,-84.5139480930093,WINTON HILLS,WINTON HILLS,984,51002947,3,,BLACK,MALE,20,NONFATAL,05/26/2010 12:00:00 AM,MAY,,N/A,WED,51002947,05/26/2010 12:00:00 AM,DISTRICT 5,45232,WINTON HILLS
5,26XX CHESTERFIELD CT,39.2015071773382,-84.5773962379412,MT AIRY,MT. AIRY,2961,159009442,2,"CINTI, OH 45239",BLACK,FEMALE,29,NONFATAL,04/18/2015 12:00:00 AM,APR,184500,18,SAT,159009442,04/18/2015 06:45:00 PM,DISTRICT 5,45239,MOUNT AIRY
1,2XX STARK ST,39.1191599835721,-84.5247041183308,OVER-THE-RHINE,OVER-THE-RHINE,2349,139021493,2,"CINC, OH 45214",BLACK,MALE,25,NONFATAL,08/12/2013 12:00:00 AM,AUG,233000,23,MON,139021493,08/12/2013 11:30:00 PM,DISTRICT 1,45214,WEST END
4,70XX GLENMEADOW LN,39.189352526975,-84.4668681852918,BOND HILL,ROSELAWN,481,40901581,2,,BLACK,MALE,19,FATAL,03/04/2009 12:00:00 AM,MAR,,N/A,WED,40901581,03/04/2009 12:00:00 AM,DISTRICT 4,45237,BOND HILL
1,13XX VINE ST,39.1093206117314,-84.5147690902178,OVER-THE-RHINE,OVER-THE-RHINE,607,10902808,1,,BLACK,MALE,37,NONFATAL,06/24/2009 12:00:00 AM,JUN,,N/A,WED,10902808,06/24/2009 12:00:00 AM,DISTRICT 1,45202,OTR
4,35XX ALASKA AV,39.1480938301097,-84.4980081620262,AVONDALE,AVONDALE,2920,159006410,1,"CINC, OH 45224",BLACK,MALE,21,NONFATAL,03/18/2015 12:00:00 AM,MAR,205000,20,WED,159006410,03/18/2015 08:50:00 PM,DISTRICT 4,45229,AVONDALE
2,18XX RUTLAND AV,39.1454704535296,-84.4673113063407,EVANSTON,EVANSTON,4077,179038762,2,,BLACK,MALE,26,FATAL,09/18/2017 12:00:00 AM,SEP,003700,0,MON,179038762,09/18/2017 12:37:00 AM,DISTRICT 2,,EVANSTON
3,12XX DEWEY AV,39.1145583204289,-84.5821607767507,WEST PRICE HILL,WEST PRICE HILL,1382,31103544,1,"CINC, OH 45211",BLACK,MALE,23,NONFATAL,05/02/2011 12:00:00 AM,MAY,233500,23,MON,31103544,05/02/2011 11:35:00 PM,DISTRICT 3,45205,WEST PRICE HILL
4,5XX HICKORY ST,39.1441558081602,-84.4965192862479,AVONDALE,AVONDALE,488,40901558,2,,BLACK,MALE,26,FATAL,03/08/2009 12:00:00 AM,MAR,,N/A,SUN,40901558,03/08/2009 12:00:00 AM,DISTRICT 4,45229,AVONDALE
3,24XX HARRISON AV,39.1402583884037,-84.5798563281344,WESTWOOD,WESTWOOD,1362,31102991,2,"CINC, OH 45211",BLACK,MALE,18,NONFATAL,04/17/2011 12:00:00 AM,APR,230300,23,SUN,31102991,04/17/2011 11:03:00 PM,DISTRICT 3,45211,WESTWOOD
4,7XX WAYNE ST,39.1255532440733,-84.4933860809992,WALNUT HILLS,WALNUT HILLS,2313,139018837,1,"CINC, OH 45207",BLACK,MALE,24,NONFATAL,07/18/2013 12:00:00 AM,JUL,095000,9,THU,139018837,07/18/2013 09:50:00 AM,DISTRICT 4,45206,WALNUT HILLS
4,72XX SCOTTWOOD AV,39.1938876682058,-84.4623108490271,ROSELAWN,ROSELAWN,2229,139013274,1,"CINC, OH 45237",BLACK,MALE,20,NONFATAL,05/28/2013 12:00:00 AM,MAY,232500,23,TUE,139013274,05/28/2013 11:25:00 PM,DISTRICT 4,45237,ROSELAWN
4,8XX LEXINGTON AV,39.1458835056563,-84.4854471134989,AVONDALE,AVONDALE,3582,169018459,1,"CINCINNATI, OH 45229",BLACK,MALE,40,NONFATAL,07/23/2016 12:00:00 AM,JUL,145800,14,SAT,169018459,07/23/2016 02:58:00 PM,DISTRICT 4,,AVONDALE
1,2XX E 13TH ST,39.109870010069,-84.5113261225566,OVER-THE-RHINE,OVER-THE-RHINE,1681,11105047,1,"CINC, OH 45211",BLACK,MALE,30,NONFATAL,12/21/2011 12:00:00 AM,DEC,212000,21,WED,11105047,12/21/2011 09:20:00 PM,DISTRICT 1,45202,OTR
2,38XX ZINSLE AV,39.1862488679505,-84.4070430605742,KENNEDY HEIGHTS,KENNEDY HEIGHTS,276,20804617,1,,BLACK,MALE,20,NONFATAL,09/08/2008 12:00:00 AM,SEP,,N/A,MON,20804617,09/08/2008 12:00:00 AM,DISTRICT 2,45213,KENNEDY HEIGHTS
3,32XX BOWLING GREEN CT,39.1429141578661,-84.5523448094191,MILLVALE,MILLVALE,4105,179043578,1,,BLACK,MALE,30,NONFATAL,10/12/2017 12:00:00 AM,OCT,120000,12,THU,179043578,10/12/2017 12:00:00 PM,DISTRICT 3,,MILLVALE
5,3XX WARNER ST,39.1253292053655,-84.5250276228157,CUF,CUF,1909,129021716,1,"CINC, OH 45211",BLACK,MALE,32,NONFATAL,08/04/2012 12:00:00 AM,AUG,000700,0,SAT,129021716,08/04/2012 12:07:00 AM,DISTRICT 5,45219,CUF
4,49XX READING RD,39.1750686595854,-84.4676810434804,BOND HILL,BOND HILL,1610,41106621,1,"CINC, OH 45215",BLACK,MALE,19,NONFATAL,10/12/2011 12:00:00 AM,OCT,225500,22,WED,41106621,10/12/2011 10:55:00 PM,DISTRICT 4,45237,BOND HILL
2,43XX KELLOGG AV,39.1008940855544,-84.4327769830546,EAST END,LINWOOD,656,20903414,2,,BLACK,MALE,23,FATAL,07/27/2009 12:00:00 AM,JUL,,N/A,MON,20903414,07/27/2009 12:00:00 AM,DISTRICT 2,45226,EAST END
4,27XX ASHLAND AV,39.1291550534553,-84.4827198021751,WALNUT HILLS,WALNUT HILLS,816,40908634,1,,BLACK,MALE,41,NONFATAL,12/15/2009 12:00:00 AM,DEC,,N/A,TUE,40908634,12/15/2009 12:00:00 AM,DISTRICT 4,45206,WALNUT HILLS
3,8XX ENRIGHT AV,39.1069884565859,-84.5728670261642,EAST PRICE HILL,EAST PRICE HILL,2452,139030954,1,"CINCINNATI, OH 45205",WHITE,MALE,46,NONFATAL,11/12/2013 12:00:00 AM,NOV,183000,18,TUE,139030954,11/12/2013 06:30:00 PM,DISTRICT 3,45205,EAST PRICE HILL
2,34XX TRIMBLE AV,39.1401473995328,-84.4662557780354,EVANSTON,EVANSTON,428,20900081,1,,BLACK,MALE,33,NONFATAL,01/06/2009 12:00:00 AM,JAN,,N/A,TUE,20900081,01/06/2009 12:00:00 AM,DISTRICT 2,45207,EVANSTON
4,36XX WASHINGTON AV,39.1490651009813,-84.4950663709999,NORTH AVONDALE,AVONDALE,4029,179032555,1,,WHITE,MALE,71,NONFATAL,08/14/2017 12:00:00 AM,AUG,161500,16,MON,179032555,08/14/2017 04:15:00 PM,DISTRICT 4,,AVONDALE - NORTH AVONDALE
