DISTRICT,INCLOCATION_X,LATITUDE_X,LONGITUDE_X,CPD_NEIGHBORHOOD,SNA_NEIGHBORHOOD,OID,RMS_NO,VICCOUNT,CITYSTATEZIP,RACE,SEX,AGE,TYPE,DATEOCCURRED,MONTHOCCURED,TIMEOCCURED,HROCCURED,DAYOCCURRED,RMSDUP,DATETIME,DSTFULL,ZIP,COMMUNITY_COUNCIL_NEIGHBORHOOD
4,8XX S FRED SHUTTLESWORTH CIR,39.1506712188018,-84.4867545146854,NORTH AVONDALE,AVONDALE,4522,199000280,1,,BLACK,MALE,32,NONFATAL,01/03/2019 12:00:00 AM,JAN,214000,21,THU,199000280,01/03/2019 09:40:00 PM,DISTRICT 4,,AVONDALE - NORTH AVONDALE
5,58XX HAMILTON AV,39.1980066079696,-84.5471517841867,COLLEGE HILL,COLLEGE HILL,977,51002821,1,,BLACK,MALE,26,NONFATAL,05/22/2010 12:00:00 AM,MAY,,N/A,SAT,51002821,05/22/2010 12:00:00 AM,DISTRICT 5,45224,COLLEGE HILL
5,15XX CHASE AV,39.1633538629512,-84.5397596841687,NORTHSIDE,NORTHSIDE,3594,169019128,1,"CINCINNATI, OH 45223",BLACK,MALE,19,NONFATAL,07/29/2016 12:00:00 AM,JUL,201000,20,FRI,169019128,07/29/2016 08:10:00 PM,DISTRICT 5,,NORTHSIDE
4,4XX GLENWOOD AV,39.1500967452616,-84.4979943631708,NORTH AVONDALE,AVONDALE,134,40803583,1,,BLACK,MALE,21,NONFATAL,05/28/2008 12:00:00 AM,MAY,,N/A,WED,40803583,05/28/2008 12:00:00 AM,DISTRICT 4,45229,AVONDALE
3,19XX KNOB CT,39.1389282257452,-84.5520811915176,ENGLISH WOODS,ENGLISH WOODS,4131,179047555,1,,BLACK,MALE,18,FATAL,11/04/2017 12:00:00 AM,NOV,214900,21,SAT,179047555,11/04/2017 09:49:00 PM,DISTRICT 3,,ENGLISH WOODS
3,9XX ENRIGHT AV,39.1083467857937,-84.5726188330503,EAST PRICE HILL,EAST PRICE HILL,1370,31103277,2,"CINC, OH 45205",BLACK,MALE,26,NONFATAL,04/23/2011 12:00:00 AM,APR,020800,2,SAT,31103277,04/23/2011 02:08:00 AM,DISTRICT 3,45205,EAST PRICE HILL
4,48XX READING RD,39.175640835184,-84.4674216708762,BOND HILL,BOND HILL,1720,129001799,1,"CINC, OH 45237",BLACK,MALE,17,FATAL,01/18/2012 12:00:00 AM,JAN,235300,23,WED,129001799,01/18/2012 11:53:00 PM,DISTRICT 4,45237,BOND HILL
4,2XX GILMAN AV,39.1210225745538,-84.5058807243299,MT AUBURN,MT. AUBURN,2919,159006393,1,"CINC, OH 45219",BLACK,MALE,22,NONFATAL,03/18/2015 12:00:00 AM,MAR,170500,17,WED,159006393,03/18/2015 05:05:00 PM,DISTRICT 4,45219,MOUNT AUBURN
4,24XX PARIS ST,39.1263138736782,-84.50476087698,MT AUBURN,MT. AUBURN,85,40802416,1,,BLACK,MALE,26,NONFATAL,04/14/2008 12:00:00 AM,APR,,N/A,MON,40802416,04/14/2008 12:00:00 AM,DISTRICT 4,45219,MOUNT AUBURN
5,7XX DUTCH COLONY DR,39.1894570204382,-84.5167957333004,WINTON HILLS,WINTON HILLS,4663,199013382,2,,BLACK,MALE,32,FATAL,06/20/2019 12:00:00 AM,JUN,183100,18,THU,199013382,06/20/2019 06:31:00 PM,DISTRICT 5,,WINTON HILLS
